ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Definition
1f17373d-caea-490f-89b4-b49c1680eec0,Attribute,bbfab424-87bf-4a90-8dd9-afeba2a386d3,Medical Equipment,,,,,,,,"Manufacturers and distributors of medical devices such as MRI scanners, prosthetics, pacemakers, X-ray machines and other non-disposable medical devices."
bc78d4f1-dd3b-4b06-95d6-2e77d01219f2,Attribute,bbfab424-87bf-4a90-8dd9-afeba2a386d3,Medical Supplies,,,,,,,,"Manufacturers and distributors of medical supplies used by health care providers and the general public. Includes makers of contact lenses, eyeglass lenses, bandages and other disposable medical supplies."
e2fe3463-c692-4b7c-a3f4-717c8711fb4d,Attribute,bbfab424-87bf-4a90-8dd9-afeba2a386d3,Medical Services,,,,,,,,Companies that operate and manage medical labs and testing services.
6664b769-a43e-4e02-86c8-580dc8256111,Group,aa6cb430-91f3-4648-97b5-ad28dc8d1619,Pharmaceuticals and Biotechnology,,,,,,,,
6ad2b246-a6a9-4b62-b564-15d2a9582409,Attribute,6664b769-a43e-4e02-86c8-580dc8256111,Biotechnology,,,,,,,,"Companies engaged in research into and development of biological substances for the purposes of drug discovery and diagnostic development, and which derive the majority of their revenue from either the sale or licensing of these drugs and diagnostic tools."
51305bd4-ec40-4e5c-a4de-848273833aa6,Attribute,6664b769-a43e-4e02-86c8-580dc8256111,Pharmaceuticals,,,,,,,,"Manufacturers of prescription or over-the-counter drugs, such as aspirin, cold remedies and birth control pills. Includes vaccine producers but excludes vitamin producers, which are classified under Food Products."
8c5b97a7-a6b1-4771-bbeb-3d00a36ae501,Attribute,6664b769-a43e-4e02-86c8-580dc8256111,Cannabis Producers,,,,,,,,"Companies that engage in cannabis cultivation, cannabis distribution including dispensaries, the processing and distribution of cannabis plants, and the creation of cannabis derivative products.  Companies that primarily engage in the research, development and manufacturing of cannabis (THC/CBD) based drugs are classified in the Biotechnology or the Pharmaceuticals Subsector."
d2272083-66f0-4824-ae27-98d27b816d7f,Object,5db04224-5886-41af-a1d9-256f6efb3df6,Financials,,,,,,,,
515bd0dd-6e72-4345-b8b8-c6f7e18cf333,Group,d2272083-66f0-4824-ae27-98d27b816d7f,Banks,,,,,,,,
70974617-b919-4367-b459-ebdd1d102dfd,Group,515bd0dd-6e72-4345-b8b8-c6f7e18cf333,Banks,,,,,,,,
e4a7ef84-c538-4048-95e0-09b94adf603c,Attribute,70974617-b919-4367-b459-ebdd1d102dfd,Banks,,,,,,,,Primary activities involve retail banking and/or commercial banking. Attracts deposits from the general public and provide various financial services.
e751762f-c6af-4365-a9b1-5aadb30b6e6e,Group,d2272083-66f0-4824-ae27-98d27b816d7f,Financial Services,,,,,,,,
e3b98197-e7a9-4173-b419-e84e9e571326,Group,e751762f-c6af-4365-a9b1-5aadb30b6e6e,Finance and Credit Services,,,,,,,,
837aceb3-55ac-4adc-8ed8-d7802c0d831c,Attribute,e3b98197-e7a9-4173-b419-e84e9e571326,Consumer Lending,,,,,,,,"Companies that provide financial services to consumers including payday loans, student loans, automobile loans, etc."
