ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description,Level,Code
2f922b99-5548-47f8-b89e-feceed6186ce,Group,cb27a31a-0bac-4a98-aa99-53f48578d556,Gas & Water Utilities,,,,,,,,,3,201011
795f24a5-7a54-47e0-9c4e-bc6882bcbefa,Attribute,2f922b99-5548-47f8-b89e-feceed6186ce,Water Utilities,,,,,,,,,4,20101111
094be746-8148-40e0-8fd9-69757f5c21d9,Attribute,2f922b99-5548-47f8-b89e-feceed6186ce,Gas Utilities,,,,,,,,,4,20101110
0e20956f-6e3f-4167-94ae-b3c3b7d61a23,Object,962efac7-b2be-44bf-ad6b-1ffb74ab59d1,Real Estate,,,,,,,,,,
6983c380-ea83-4051-baeb-5d0ebba8a0d7,Group,0e20956f-6e3f-4167-94ae-b3c3b7d61a23,Real Estate,,,,,,,,,,
e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Group,6983c380-ea83-4051-baeb-5d0ebba8a0d7,Real Estate Owners & Developers,,,,,,,,,3,151010
d2d209e3-f812-45ce-acb6-7c5a8db3bb92,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Multi Asset Class Own & Develop,,,,,,,,,4,15101010
7d27d955-2add-4197-ae57-0e2ec1d5cc53,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Health Care Owners & Develop,,,,,,,,,4,15101011
56e39a3b-c1fe-4399-a0fe-8e6cf62166d0,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Hotel Owners & Developers,,,,,,,,,4,15101012
00157825-5091-452d-a8be-27a7365bbc31,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Residential Owners & Developers,,,,,,,,,4,15101013
164e3d34-2743-49c6-80fa-d50caba5f045,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Industrial Owners & Developers,,,,,,,,,4,15101014
f2803529-2c91-4865-a9c6-92d0a374fb91,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Office Owners & Developers,,,,,,,,,4,15101015
721cfbbd-74ea-4a26-b484-56ef11860dfe,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Retail Owners & Developers,,,,,,,,,4,15101016
1b0e3fff-96bb-45d7-a31b-65b9deec74a5,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Self-Storage Owners & Develop,,,,,,,,,4,15101017
