ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code,description
5e85610e-77f5-4280-a441-721f193376c6,Attribute,9981ddb4-88ea-4663-bb3f-9174e1feae0b,Pharmaceuticals,,,,,,,,4,35202010,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
61a7f423-c8ef-4f25-9d33-db616037b680,Attribute,9981ddb4-88ea-4663-bb3f-9174e1feae0b,Life Sciences Tools & Services,,,,,,,,3,352030,
fd4184dd-283f-401f-ae96-1559b41ec1ec,Attribute,9981ddb4-88ea-4663-bb3f-9174e1feae0b,Life Sciences Tools & Services,,,,,,,,4,35203010,"Companies enabling the drug discovery, development and production continuum by providing analytical tools, instruments, consumables & supplies, clinical trial services and contract research services.  Includes firms primarily servicing the pharmaceutical and biotechnology industries."
89b1268c-03b9-4633-b9b6-9c464a4c045f,Object,a6fc45a0-167a-4a08-a37f-8ddf1befc5d4,Financials,,,,,,,,1,40,
09149300-0d68-43a3-b351-e5ac27749a24,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Banks,,,,,,,,2,4010,
0e5dfe20-640d-4dcc-9071-ba15ef528fa8,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Banks,,,,,,,,3,401010,
01503cc0-27fe-49f2-9ba2-323642804faa,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Diversified Banks,,,,,,,,4,40101010,"Large, geographically diverse banks with a national footprint whose revenues are derived primarily from conventional banking operations, have significant business activity in retail banking and small and medium corporate lending, and provide a diverse range of financial services.  Excludes banks classified in the Regional Banks and Thrifts & Mortgage Finance Sub-Industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry."
a989dd26-1ed5-48da-ae06-d97df473bfde,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Regional Banks,,,,,,,,4,40101015,"Commercial banks, savings banks and thrifts whose business are derived primarily from conventional banking operations such as retail banking, corporate lending and originating various residential and commercial mortgage loans funded mainly through deposits. Regional banks tend to operate in limited geographic regions. Excludes companies classified in the Diversified Banks and Commercial & Residential Mortgage Finance Sub-Industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry."
357eafbb-79fe-404d-829e-4d74e39b6371,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Financial Services,,,,,,,,2,4020,
066f3299-3fda-4ccd-9c2a-4f5236893100,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Financial Services,,,,,,,,3,402010,
e0847616-cac9-48d9-ad90-74f99596a2d5,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Diversified Financial Services,,,,,,,,4,40201020,"Providers of a diverse range of financial services and/or with some interest in a wide range of financial services including banking, insurance and capital markets, but with no dominant business line. Excludes companies classified in the Regional Banks and Diversified Banks Sub-Industries."
