ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Mapping ID,Code
b9c4696f-f0d5-4d24-8a70-3f833a4ec863,Attribute,5dba646d-d7ec-43a7-b396-cb9b6c40db24,Retail sale of cosmetic and toilet articles in specialised stores,,,,,,,,4,UK SIC,4775,4775
d1989e13-85f7-45ce-94f4-46491db6655a,Attribute,5dba646d-d7ec-43a7-b396-cb9b6c40db24,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,,,,,,4,UK SIC,4776,4776
f0334116-4c2c-4969-9e97-9f82a9be8e16,Attribute,5dba646d-d7ec-43a7-b396-cb9b6c40db24,Retail sale of watches and jewellery in specialised stores,,,,,,,,4,UK SIC,4777,4777
772d29ee-8b06-4c90-b542-266ce8c606bd,Group,5dba646d-d7ec-43a7-b396-cb9b6c40db24,Other retail sale of new goods in specialised stores,,,,,,,,4,UK SIC,4778,4778
0d260e18-00d9-495b-a4f9-bb1f1930ffad,Attribute,772d29ee-8b06-4c90-b542-266ce8c606bd,Retail sale in commercial art galleries,,,,,,,,5,UK SIC,47781,47781
102fd3b8-d8c5-4b3d-9519-9704eb82bd96,Attribute,772d29ee-8b06-4c90-b542-266ce8c606bd,Retail sale by opticians,,,,,,,,5,UK SIC,47782,47782
e81f4d69-9446-4ecd-83ad-bb56f8228d0a,Attribute,772d29ee-8b06-4c90-b542-266ce8c606bd,"Other retail sale of new goods in specialised stores (other than by opticians or commercial art galleries), n.e.c",,,,,,,,5,UK SIC,47789,47789
a73254fc-8183-40a7-a576-73af281b1b4a,Group,5dba646d-d7ec-43a7-b396-cb9b6c40db24,Retail sale of second-hand goods in stores,,,,,,,,4,UK SIC,4779,4779
3903eafd-604a-4ea3-ac4b-a8624e3bc5f6,Attribute,a73254fc-8183-40a7-a576-73af281b1b4a,"Retail sale of antiques including antique books, in stores",,,,,,,,5,UK SIC,47791,47791
b20b432b-1dde-4f90-8d65-9592a677a60c,Attribute,a73254fc-8183-40a7-a576-73af281b1b4a,Retail sale of second-hand goods (other than antiques and antique books) in stores,,,,,,,,5,UK SIC,47799,47799
bff84aa2-359d-4604-983c-9eee72fba854,Group,3cdf2b77-d3c7-469b-b660-ba9d25326a3b,Retail sale via stalls and markets,,,,,,,,3,UK SIC,47.8,478
a4815172-d2e4-4c0e-a11b-13474f2d4398,Attribute,bff84aa2-359d-4604-983c-9eee72fba854,"Retail sale via stalls and markets of food, beverages and tobacco products",,,,,,,,4,UK SIC,4781,4781
e53d6d67-ae1f-4700-8133-7220f232d3f5,Attribute,bff84aa2-359d-4604-983c-9eee72fba854,"Retail sale via stalls and markets of textiles, clothing and footwear",,,,,,,,4,UK SIC,4782,4782
be5ab00b-c97e-4f3b-a8c0-2aaecbbb0ffb,Attribute,bff84aa2-359d-4604-983c-9eee72fba854,Retail sale via stalls and markets of other goods,,,,,,,,4,UK SIC,4789,4789
d8267c46-806d-4e61-a29b-488eef647345,Group,3cdf2b77-d3c7-469b-b660-ba9d25326a3b,"Retail trade not in stores, stalls or markets",,,,,,,,3,UK SIC,47.9,479
42dc300e-9755-4eaf-b6e6-6e3ff879cfc5,Attribute,d8267c46-806d-4e61-a29b-488eef647345,Retail sale via mail order houses or via Internet,,,,,,,,4,UK SIC,4791,4791
c89ec07a-d569-4df9-9132-679cfcdc99d5,Attribute,d8267c46-806d-4e61-a29b-488eef647345,"Other retail sale not in stores, stalls or markets",,,,,,,,4,UK SIC,4799,4799
86b3397a-b49e-43a0-9bf5-911e42dd6c58,Object,b3fdc15d-f273-4116-9ad3-4c3e2b6bb06c,TRANSPORTATION AND STORAGE,,,,,,,,1,UK SIC,H,
6ce4cf40-6a00-402f-b9a3-97f8aceb6ffe,Group,86b3397a-b49e-43a0-9bf5-911e42dd6c58,Land transport and transport via pipelines,,,,,,,,2,UK SIC,49,49
888f3436-3623-432c-bf6e-3a3701557ed8,Group,6ce4cf40-6a00-402f-b9a3-97f8aceb6ffe,"Passenger rail transport, interurban",,,,,,,,3,UK SIC,49.1,491
8322efb1-29b8-4cab-8ced-36e0435f2ab1,Attribute,888f3436-3623-432c-bf6e-3a3701557ed8,"Passenger rail transport, interurban",,,,,,,,4,UK SIC,4910,4910
334cf5d6-5fdc-49bf-835b-ffd6f5f075c8,Group,6ce4cf40-6a00-402f-b9a3-97f8aceb6ffe,Freight rail transport,,,,,,,,3,UK SIC,49.2,492
5dd08cd1-22a5-43d2-84a9-2483e62c28aa,Attribute,334cf5d6-5fdc-49bf-835b-ffd6f5f075c8,Freight rail transport,,,,,,,,4,UK SIC,4920,4920
4e65a9f4-03db-42c2-a764-5a7331463b77,Group,6ce4cf40-6a00-402f-b9a3-97f8aceb6ffe,Other passenger land transport,,,,,,,,3,UK SIC,49.3,493
9d70170e-ae24-4590-8dd0-d6a0e0b8ff14,Group,4e65a9f4-03db-42c2-a764-5a7331463b77,Urban and suburban passenger land transport,,,,,,,,4,UK SIC,4931,4931
d5beb2cc-4484-4029-8d53-0dda3ac86216,Attribute,9d70170e-ae24-4590-8dd0-d6a0e0b8ff14,"Urban, suburban or metropolitan area passenger railway transportation by underground, metro and similar systems",,,,,,,,5,UK SIC,49311,49311
a537869b-ff3d-43f3-b2fe-1b264c68d37d,Attribute,9d70170e-ae24-4590-8dd0-d6a0e0b8ff14,"Urban, suburban or metropolitan area passenger land transport other than railway transportation by underground, metro and similar systems",,,,,,,,5,UK SIC,49319,49319
04a01a0a-dcd6-48cb-9b85-383120ac8220,Attribute,4e65a9f4-03db-42c2-a764-5a7331463b77,Taxi operation,,,,,,,,4,UK SIC,4932,4932
9b45c5bb-a525-41d3-830d-3c6f775a3c90,Attribute,4e65a9f4-03db-42c2-a764-5a7331463b77,Other passenger land transport n.e.c.,,,,,,,,4,UK SIC,4939,4939
0ca95b12-d337-4ef4-9bd3-d61190e6bbe7,Group,6ce4cf40-6a00-402f-b9a3-97f8aceb6ffe,Freight transport by road and removal services,,,,,,,,3,UK SIC,49.4,494
b73a42cc-6826-42fa-a564-158a86987b90,Attribute,0ca95b12-d337-4ef4-9bd3-d61190e6bbe7,Freight transport by road,,,,,,,,4,UK SIC,4941,4941
e95d79f9-f2fb-4b5b-b6d8-eaadb7b86bc8,Attribute,0ca95b12-d337-4ef4-9bd3-d61190e6bbe7,Removal services,,,,,,,,4,UK SIC,4942,4942
cacbd02f-110f-4a50-8431-4a9e14922bdb,Group,6ce4cf40-6a00-402f-b9a3-97f8aceb6ffe,Transport via pipeline,,,,,,,,3,UK SIC,49.5,495
f869e6d5-ed9e-4591-9b42-5fe41e7ef6f3,Attribute,cacbd02f-110f-4a50-8431-4a9e14922bdb,Transport via pipeline,,,,,,,,4,UK SIC,4950,4950
54162acf-4207-4cc9-b580-edce37236b16,Group,86b3397a-b49e-43a0-9bf5-911e42dd6c58,Water transport,,,,,,,,2,UK SIC,50,50
