Target object,Target attribute,Source object,Source attribute
Absolute emissions,Requirement 3,Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Emissions Intensity,Requirement 1,Disclosure 305-4,GHG emissions intensity
Emissions Intensity,Requirement 2,Disclosure 305-4,GHG emissions intensity
Emissions Intensity,Requirement 3,Disclosure 305-4,GHG emissions intensity
