Target object,Target attribute,Source object,Source attribute
"REQ-02 Management’s environmental and social policies, strategies and targets",REQ-02,Disclosure 305-5,Reduction of GHG emissions
REQ-04 Sources of environmental and social impact,REQ-04,Disclosure 305-3,Other indirect (Scope 3) GHG emissions
REQ-04 Sources of environmental and social impact,REQ-04,Disclosure 305-2,Energy indirect (Scope 2) GHG emissions
REQ-04 Sources of environmental and social impact,REQ-04,Disclosure 305-1,Direct (Scope 1) GHG emissions
