ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Level 0 Group,Code,Mapping ID
24e3aa0f-f536-45dd-b1c0-28f7cf49abbf,Attribute,38fd1801-ca84-4fbe-ba38-8db2b54bb647,Building of ships and floating structures,,,,,,,,4,ISIC Rev 4,,3011,3011
00322d7e-f7f7-47a0-98e9-4d6e77eb1c5e,Attribute,38fd1801-ca84-4fbe-ba38-8db2b54bb647,Building of pleasure and sporting boats,,,,,,,,4,ISIC Rev 4,,3012,3012
dfcbc3ce-4dc5-4071-897b-7f8525206b0c,Group,dd3cd83b-83f1-452e-9359-19252a130553,Manufacture of railway locomotives and rolling stock,,,,,,,,3,ISIC Rev 4,,302,302
a1398106-9bd0-4aa9-90d9-e87ff66ea431,Attribute,dfcbc3ce-4dc5-4071-897b-7f8525206b0c,Manufacture of railway locomotives and rolling stock,,,,,,,,4,ISIC Rev 4,,3020,3020
f9fa32d2-dc4c-4a15-97e3-8efdba590ab3,Group,dd3cd83b-83f1-452e-9359-19252a130553,Manufacture of air and spacecraft and related machinery,,,,,,,,3,ISIC Rev 4,,303,303
2f307b56-ebbb-4a7b-ada8-a74127e51a1b,Attribute,f9fa32d2-dc4c-4a15-97e3-8efdba590ab3,Manufacture of air and spacecraft and related machinery,,,,,,,,4,ISIC Rev 4,,3030,3030
bdd16a0c-b3f5-4429-926b-2f467994054c,Group,dd3cd83b-83f1-452e-9359-19252a130553,Manufacture of military fighting vehicles,,,,,,,,3,ISIC Rev 4,,304,304
1b7dc6b8-1438-4791-8173-e0cfcd4bb72b,Attribute,bdd16a0c-b3f5-4429-926b-2f467994054c,Manufacture of military fighting vehicles,,,,,,,,4,ISIC Rev 4,,3040,3040
5cf9e99e-4803-4e78-951c-c99b336fb53f,Group,dd3cd83b-83f1-452e-9359-19252a130553,Manufacture of transport equipment n.e.c.,,,,,,,,3,ISIC Rev 4,,309,309
10a0364b-2db7-4ba3-91e5-8cfbd7b82a64,Attribute,5cf9e99e-4803-4e78-951c-c99b336fb53f,Manufacture of motorcycles,,,,,,,,4,ISIC Rev 4,,3091,3091
ac08adbe-c179-44fa-9090-7f6780fce893,Attribute,5cf9e99e-4803-4e78-951c-c99b336fb53f,Manufacture of bicycles and invalid carriages,,,,,,,,4,ISIC Rev 4,,3092,3092
c09645d0-38e8-44ae-b25c-a8a41cf9ad2e,Attribute,5cf9e99e-4803-4e78-951c-c99b336fb53f,Manufacture of other transport equipment n.e.c.,,,,,,,,4,ISIC Rev 4,,3099,3099
6a1e0c6c-61b2-4e9c-abf8-7281f7bd311d,Group,16cfc56f-83b2-484a-91d6-57f24a15ca81,Manufacture of furniture,,,,,,,,2,ISIC Rev 4,C,31,31
74e6ed35-cc1a-4347-a16c-972b9d69d10b,Group,6a1e0c6c-61b2-4e9c-abf8-7281f7bd311d,Manufacture of furniture,,,,,,,,3,ISIC Rev 4,,310,310
be497a31-a4bb-4e21-a168-f350d7669757,Attribute,74e6ed35-cc1a-4347-a16c-972b9d69d10b,Manufacture of furniture,,,,,,,,4,ISIC Rev 4,,3100,3100
077b9f99-77b8-48d4-87b4-f9a714e8f460,Group,16cfc56f-83b2-484a-91d6-57f24a15ca81,Other manufacturing,,,,,,,,2,ISIC Rev 4,C,32,32
05395fb1-6b5e-409a-88fe-704660603e6f,Group,077b9f99-77b8-48d4-87b4-f9a714e8f460,"Manufacture of jewellery, bijouterie and related articles",,,,,,,,3,ISIC Rev 4,,321,321
acc5d348-e534-49b6-97ae-6e2d8073c53d,Attribute,05395fb1-6b5e-409a-88fe-704660603e6f,Manufacture of jewellery and related articles,,,,,,,,4,ISIC Rev 4,,3211,3211
84b606fd-332e-4c48-bbcf-650b69fafd47,Attribute,05395fb1-6b5e-409a-88fe-704660603e6f,Manufacture of imitation jewellery and related articles,,,,,,,,4,ISIC Rev 4,,3212,3212
6292cd95-0f20-4acf-8bcb-cb60bc2d68c1,Group,077b9f99-77b8-48d4-87b4-f9a714e8f460,Manufacture of musical instruments,,,,,,,,3,ISIC Rev 4,,322,322
5db76b2b-0d84-4adf-9f60-b0ee72402541,Attribute,6292cd95-0f20-4acf-8bcb-cb60bc2d68c1,Manufacture of musical instruments,,,,,,,,4,ISIC Rev 4,,3220,3220
31ebff60-5c8f-478e-a198-99adb46a0fa6,Group,077b9f99-77b8-48d4-87b4-f9a714e8f460,Manufacture of sports goods,,,,,,,,3,ISIC Rev 4,,323,323
79115b8b-7dbe-4dcd-8a3f-5f287c9265c5,Attribute,31ebff60-5c8f-478e-a198-99adb46a0fa6,Manufacture of sports goods,,,,,,,,4,ISIC Rev 4,,3230,3230
691e7942-68fb-4a11-a8ba-841380d9dc01,Group,077b9f99-77b8-48d4-87b4-f9a714e8f460,Manufacture of games and toys,,,,,,,,3,ISIC Rev 4,,324,324
9c4d81b1-0830-4d4a-9d4d-09bfa2a26148,Attribute,691e7942-68fb-4a11-a8ba-841380d9dc01,Manufacture of games and toys,,,,,,,,4,ISIC Rev 4,,3240,3240
2d043b3b-a73b-45e0-892a-dcafde7c425a,Group,077b9f99-77b8-48d4-87b4-f9a714e8f460,Manufacture of medical and dental instruments and supplies,,,,,,,,3,ISIC Rev 4,,325,325
5f3a1226-d4ae-4c2b-9e6d-2c3bfaf51c26,Attribute,2d043b3b-a73b-45e0-892a-dcafde7c425a,Manufacture of medical and dental instruments and supplies,,,,,,,,4,ISIC Rev 4,,3250,3250
43df42f9-12df-459a-828e-83aa12920086,Group,077b9f99-77b8-48d4-87b4-f9a714e8f460,Other manufacturing n.e.c.,,,,,,,,3,ISIC Rev 4,,329,329
b86c2d1b-43bb-43ab-b7e3-edd73c2b9070,Attribute,43df42f9-12df-459a-828e-83aa12920086,Other manufacturing n.e.c.,,,,,,,,4,ISIC Rev 4,,3290,3290
d44bb874-ee58-4c90-9559-e94aa606bf75,Group,16cfc56f-83b2-484a-91d6-57f24a15ca81,Repair and installation of machinery and equipment,,,,,,,,2,ISIC Rev 4,C,33,33
2de06596-fbbe-4361-8313-ae296c7c21ca,Group,d44bb874-ee58-4c90-9559-e94aa606bf75,"Repair of fabricated metal products, machinery and equipment",,,,,,,,3,ISIC Rev 4,,331,331
58281749-66b9-4261-9623-818fa1940655,Attribute,2de06596-fbbe-4361-8313-ae296c7c21ca,Repair of fabricated metal products,,,,,,,,4,ISIC Rev 4,,3311,3311
f88cf5b8-96c1-45fc-bcb1-8bfa6c6aa8f1,Attribute,2de06596-fbbe-4361-8313-ae296c7c21ca,Repair of machinery,,,,,,,,4,ISIC Rev 4,,3312,3312
4529f52a-f514-4a65-bd27-85d51dc9dd8e,Attribute,2de06596-fbbe-4361-8313-ae296c7c21ca,Repair of electronic and optical equipment,,,,,,,,4,ISIC Rev 4,,3313,3313
219d8967-a2f4-4958-8e3b-fb4ef8812228,Attribute,2de06596-fbbe-4361-8313-ae296c7c21ca,Repair of electrical equipment,,,,,,,,4,ISIC Rev 4,,3314,3314
d061aae4-92ca-4ada-875c-088cd1788884,Attribute,2de06596-fbbe-4361-8313-ae296c7c21ca,"Repair of transport equipment, except motor vehicles",,,,,,,,4,ISIC Rev 4,,3315,3315
7af83648-ee8b-4b9f-a6e8-71ed284733b3,Attribute,2de06596-fbbe-4361-8313-ae296c7c21ca,Repair of other equipment,,,,,,,,4,ISIC Rev 4,,3319,3319
419a5b15-e744-401d-8a13-f7fe7459178b,Group,d44bb874-ee58-4c90-9559-e94aa606bf75,Installation of industrial machinery and equipment,,,,,,,,3,ISIC Rev 4,,332,332
9a4e8690-dc9c-4141-b7a9-e5722702d130,Attribute,419a5b15-e744-401d-8a13-f7fe7459178b,Installation of industrial machinery and equipment,,,,,,,,4,ISIC Rev 4,,3320,3320
e4afc5f8-9bc3-46d1-b9bc-07606d61b14b,Object,6ae6f75c-37b3-4190-851d-686b114eeb81,"Electricity, gas, steam and air conditioning supply",,,,,,,,1,ISIC Rev 4,D,D,D
2a3e83af-aa68-458b-82af-bbfd37ba0cb6,Group,e4afc5f8-9bc3-46d1-b9bc-07606d61b14b,"Electricity, gas, steam and air conditioning supply",,,,,,,,2,ISIC Rev 4,D,35,35
f047eccb-7363-44e6-ba8f-9a4a5313731f,Group,2a3e83af-aa68-458b-82af-bbfd37ba0cb6,"Electric power generation, transmission and distribution",,,,,,,,3,ISIC Rev 4,,351,351
ccfd3a0b-5dc4-41dd-866b-3b766f68e4ba,Attribute,f047eccb-7363-44e6-ba8f-9a4a5313731f,"Electric power generation, transmission and distribution",,,,,,,,4,ISIC Rev 4,,3510,3510
8ab383c0-25f3-4f28-9f2d-d60fcb4e9047,Group,2a3e83af-aa68-458b-82af-bbfd37ba0cb6,Manufacture of gas; distribution of gaseous fuels through mains,,,,,,,,3,ISIC Rev 4,,352,352
63918d34-9440-4842-b9b3-58267efce20e,Attribute,8ab383c0-25f3-4f28-9f2d-d60fcb4e9047,Manufacture of gas; distribution of gaseous fuels through mains,,,,,,,,4,ISIC Rev 4,,3520,3520
59ae6897-d100-4bdb-8f9f-a4a93df95fc6,Group,2a3e83af-aa68-458b-82af-bbfd37ba0cb6,Steam and air conditioning supply,,,,,,,,3,ISIC Rev 4,,353,353
b37a4d14-c1af-472b-976a-9914d83a9373,Attribute,59ae6897-d100-4bdb-8f9f-a4a93df95fc6,Steam and air conditioning supply,,,,,,,,4,ISIC Rev 4,,3530,3530
29d171fb-d9de-4a2b-a08d-39b67b36aec1,Object,6ae6f75c-37b3-4190-851d-686b114eeb81,"Water supply; sewerage, waste management and remediation activities",,,,,,,,1,ISIC Rev 4,E,E,E
a4d31111-4380-4e67-85f3-8f4122ed1284,Group,29d171fb-d9de-4a2b-a08d-39b67b36aec1,"Water collection, treatment and supply",,,,,,,,2,ISIC Rev 4,E,36,36
54b30ec7-f889-49a8-afee-9f5163e06d36,Group,a4d31111-4380-4e67-85f3-8f4122ed1284,"Water collection, treatment and supply",,,,,,,,3,ISIC Rev 4,,360,360
36c3f7c1-ce2a-4464-9ded-947387c4100e,Attribute,54b30ec7-f889-49a8-afee-9f5163e06d36,"Water collection, treatment and supply",,,,,,,,4,ISIC Rev 4,,3600,3600
4a5abd64-2341-4f82-b4df-9f31ab0e0571,Group,29d171fb-d9de-4a2b-a08d-39b67b36aec1,Sewerage,,,,,,,,2,ISIC Rev 4,E,37,37
7bc8a518-7650-40ff-b554-f68b3ec93a81,Group,4a5abd64-2341-4f82-b4df-9f31ab0e0571,Sewerage,,,,,,,,3,ISIC Rev 4,,370,370
a375e5c3-0382-4df3-8548-8e43b67c0653,Attribute,7bc8a518-7650-40ff-b554-f68b3ec93a81,Sewerage,,,,,,,,4,ISIC Rev 4,,3700,3700
65b31d14-5699-4c33-aeb8-1372cd5dbb8a,Group,29d171fb-d9de-4a2b-a08d-39b67b36aec1,"Waste collection, treatment and disposal activities; materials recovery",,,,,,,,2,ISIC Rev 4,E,38,38
1cd1caa7-8ccb-4bc0-8e8b-658804119137,Group,65b31d14-5699-4c33-aeb8-1372cd5dbb8a,Waste collection,,,,,,,,3,ISIC Rev 4,,381,381
2c8434fc-b3ac-40ed-a092-773941768c10,Attribute,1cd1caa7-8ccb-4bc0-8e8b-658804119137,Collection of non-hazardous waste,,,,,,,,4,ISIC Rev 4,,3811,3811
f44c5644-b77d-4aab-ba29-e07bbac526f2,Attribute,1cd1caa7-8ccb-4bc0-8e8b-658804119137,Collection of hazardous waste,,,,,,,,4,ISIC Rev 4,,3812,3812
860be9b8-e613-4b02-aa86-f1f2d9e11fc0,Group,65b31d14-5699-4c33-aeb8-1372cd5dbb8a,Waste treatment and disposal,,,,,,,,3,ISIC Rev 4,,382,382
e56ae424-825a-490d-b1b3-b10d46efabec,Attribute,860be9b8-e613-4b02-aa86-f1f2d9e11fc0,Treatment and disposal of non-hazardous waste,,,,,,,,4,ISIC Rev 4,,3821,3821
adc9ab61-728f-4002-91d8-8cd32016a72f,Attribute,860be9b8-e613-4b02-aa86-f1f2d9e11fc0,Treatment and disposal of hazardous waste,,,,,,,,4,ISIC Rev 4,,3822,3822
8d30013f-96e9-4e34-9b28-868bbe049f59,Group,65b31d14-5699-4c33-aeb8-1372cd5dbb8a,Materials recovery,,,,,,,,3,ISIC Rev 4,,383,383
