Target object,Target attribute,Source object,Source attribute
Strategy,Recommended Disclosure b),Disclosure 305-5,Reduction of GHG emissions
Metrics and Targets,Recommended Disclosure b),Disclosure 305-1,Direct (Scope 1) GHG emissions
Metrics and Targets,Recommended Disclosure b),Disclosure 305-2,Energy indirect (Scope 2) GHG emissions
Metrics and Targets,Recommended Disclosure b),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Metrics and Targets,Recommended Disclosure b),Disclosure 305-4,GHG emissions intensity
Metrics and Targets,Recommended Disclosure c),Disclosure 305-1,Direct (Scope 1) GHG emissions
Metrics and Targets,Recommended Disclosure c),Disclosure 305-2,Energy indirect (Scope 2) GHG emissions
Metrics and Targets,Recommended Disclosure c),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Metrics and Targets,Recommended Disclosure c),Disclosure 305-4,GHG emissions intensity
