ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Code
61a5b282-e908-4fc3-9895-43fc717cf499,Layer,,Sustainable Industry Classification System (SICS),,,,,,,,
ddd5b23a-bee8-4df7-b0b2-17a5a628bb56,Object,61a5b282-e908-4fc3-9895-43fc717cf499,Consumer Goods,,,,,,,,CG
b87de7af-9aa3-41ee-a49b-6aa0c243a0ed,Group,ddd5b23a-bee8-4df7-b0b2-17a5a628bb56,Apparel & Textiles,,,,,,,,CG.1
365d30d6-244c-4d05-ba38-101871ba0059,Attribute,b87de7af-9aa3-41ee-a49b-6aa0c243a0ed,"Apparel, Accessories & Footwear",,,,,,,,CG-AA
ebcdde9c-dafa-4972-9fc8-0b830cc912eb,Group,ddd5b23a-bee8-4df7-b0b2-17a5a628bb56,Consumer Discretionary Products,,,,,,,,CG.2
14d55300-703e-45b9-a0cd-4d7f699649ef,Attribute,ebcdde9c-dafa-4972-9fc8-0b830cc912eb,Appliance Manufacturing,,,,,,,,CG-AM
9d752f51-9db9-4058-a9a5-5cee2c8bebfb,Attribute,ebcdde9c-dafa-4972-9fc8-0b830cc912eb,Building Products & Furnishings,,,,,,,,CG-BF
784a570b-bec7-4cab-b9e0-0506d4dfbab2,Attribute,ebcdde9c-dafa-4972-9fc8-0b830cc912eb,Household & Personal Products,,,,,,,,CG-HP
cfbaeb8e-fb90-4de6-a390-4ce04d6f7bc0,Attribute,ebcdde9c-dafa-4972-9fc8-0b830cc912eb,Toys & Sporting Goods,,,,,,,,CG-TS
e2f2a655-76b3-46b4-be48-5909b4a3b716,Group,ddd5b23a-bee8-4df7-b0b2-17a5a628bb56,Consumer Goods Retail,,,,,,,,CG.3
db441d28-5343-410a-9aa2-543dabd95010,Attribute,e2f2a655-76b3-46b4-be48-5909b4a3b716,Multiline and Specialty Retailers & Distributors,,,,,,,,CG-MR
2cc92461-8d12-48e2-aa38-8563b5362dd9,Attribute,e2f2a655-76b3-46b4-be48-5909b4a3b716,E-commerce,,,,,,,,CG-EC
93f3ee02-c675-49c8-a6b7-4ec9bcb45502,Object,61a5b282-e908-4fc3-9895-43fc717cf499,Extractives & Minerals Processing,,,,,,,,EM
720a29ba-081f-4ecc-a3f8-f0c083971a95,Group,93f3ee02-c675-49c8-a6b7-4ec9bcb45502,Coal,,,,,,,,EM.1
897f8503-a05c-4d8a-8480-37793d52370d,Attribute,720a29ba-081f-4ecc-a3f8-f0c083971a95,Coal Operations,,,,,,,,EM-CO
186551c3-e355-4a71-bb87-020f1ce008fb,Group,93f3ee02-c675-49c8-a6b7-4ec9bcb45502,Construction Materials,,,,,,,,EM.2
211640f9-b353-45ab-be67-dd61dc0f99fc,Attribute,186551c3-e355-4a71-bb87-020f1ce008fb,Construction Materials,,,,,,,,EM-CM
