ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,description,Code Group,Code,Mapping ID,Full Code,NACE Rev 1.1 Code,NACE Rev 1.1 desc,Level 0 Group,id,NACE rev 1 Source,NACE Rev 2 Target,Updates
e4c7c885-5f55-4e18-b7f7-4677c8fcb3e6,Group,b384e5d6-c920-4ae2-ae5e-b2ded6bc2d5b,Support activities for petroleum and natural gas extraction,"84b604c7-b1d1-4e87-ba8c-58d5d59ae0b8,5160a2a0-45eb-4a5e-9d69-6414271620a1",,,,,,,3,,NACE Rev 2,09.1,9.1,B09.1,11.1,Extraction of crude petroleum and natural gas,B,,,,
aa76e75d-a667-4239-ac89-0cffa1960f6a,Attribute,e4c7c885-5f55-4e18-b7f7-4677c8fcb3e6,Support activities for petroleum and natural gas extraction,,,,,,,,4,,NACE Rev 2,09.10,9.1,B09.10,11.1,Extraction of crude petroleum and natural gas,B,,,,
1e8bf24b-1230-438d-82f9-8727b25630a6,Group,b384e5d6-c920-4ae2-ae5e-b2ded6bc2d5b,Support activities for other mining and quarrying,"663094d3-6919-4c1c-a614-b5ad348beb90,c5b2fc5e-c192-4dd7-9719-7973e37e03c4,555d0471-489a-49b0-a50e-55a6ea6d1c10,a94a91b0-eb6d-44fd-bd96-97f38406299b,5b6cec47-c534-4c71-ab68-ee46e9c72954,a34bc6df-cff9-439e-8417-234cb59716eb,ea2b1b52-4204-4e33-b607-dda0da844823,c773fb3f-5e60-4e63-9682-7f86c2134482,f0ecc8fc-e270-4e9b-b77b-728ebd4381ff,89bc9b79-7a14-4233-908a-9d00b3658bae,72f4f6be-0a49-46a7-84d5-63fd159ffd46,adf25c01-6f97-4bb9-a11e-9fa824c5362e,edab19de-c329-44be-a298-51b199f36590,47d4bc3c-f96c-43a0-adc5-fcf4463d6ddc",,,,,,,3,,NACE Rev 2,09.9,9.9,B09.9,10.1,Mining and agglomeration of hard coal,B,,,,
f20c9eb3-266b-496b-9cb0-b2adf43aad49,Attribute,1e8bf24b-1230-438d-82f9-8727b25630a6,Support activities for other mining and quarrying,,,,,,,,4,,NACE Rev 2,09.90,9.9,B09.90,10.1,Mining and agglomeration of hard coal,B,,,,
2e46b5c8-8b52-49d8-9282-288149070ddd,Group,f37d246b-d9d9-4d14-b89a-80df80d6cde2,Manufacture of food products,,,,,,,,2,"This division includes the processing of the products of agriculture, forestry and fishing into food for humans or animals, and includes the production of various intermediate products that are not directly food products. The activity often generates associated products of greater or lesser value (for example, hides from slaughtering, or oilcake from oil production).

This division is organised by activities dealing with different kinds of products: meat, fish, fruit and vegetables, fats and oils, milk products, grain mill products, animal feeds and other food products. Production can be carried out for own account, as well as for third parties, as in custom slaughtering.

Some activities are considered manufacturing (for example, those performed in bakeries, pastry shops, and prepared meat shops etc. which sell their own production) even though there is retail sale of the products in the producers' own shop. However, where the processing is minimal and does not lead to a real transformation, the unit is classified to wholesale and retail trade (section G).

Preparation of food for immediate consumption on the premises is classified to division 56 (Food and beverage service activities).

Production of animal feeds from slaughter waste or by-products is classified in 10.9, while processing food and beverage waste into secondary raw material is classified to 38.3, and disposal of food and beverage waste in 38.21.",NACE Rev 2,10,10,C10,N/A,N/A,C,,,,
9bdf719b-c9af-41d9-9170-b3ded13ff963,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,Processing and preserving of meat and production of meat products,,,,,,,,3,,NACE Rev 2,10.1,10.1,C10.1,N/A,N/A,C,,,,
b63d830d-af2c-4779-9e8e-5f13c923c1f7,Attribute,9bdf719b-c9af-41d9-9170-b3ded13ff963,Processing and preserving of meat,"814fa1f0-8666-454f-8bee-e86fb6929d1f,ddf874f7-5945-4b39-bccb-08faf544629f",,,,,,,4,,NACE Rev 2,10.11,10.11,C10.11,15.11,Production and preserving of meat,C,,,,
5154ef6d-1bd0-486a-8a7a-ac6f6ab65fad,Attribute,9bdf719b-c9af-41d9-9170-b3ded13ff963,Processing and preserving of poultry meat,ddf874f7-5945-4b39-bccb-08faf544629f,,,,,,,4,,NACE Rev 2,10.12,10.12,C10.12,15.12,Production and preserving of poultrymeat,C,,,,
f16055d1-7f4d-461e-9a4b-e62a4d60603c,Attribute,9bdf719b-c9af-41d9-9170-b3ded13ff963,Production of meat and poultry meat products,28a489f1-56d8-4528-850b-92e72bfded40,,,,,,,4,,NACE Rev 2,10.13,10.13,C10.13,15.13,Production of meat and poultrymeat products,C,,,,
216cabc0-76eb-4be5-a94b-c59411f74401,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,"Processing and preserving of fish, crustaceans and molluscs",c6efb3e8-152a-4c6c-9ba3-56de51437214,,,,,,,3,,NACE Rev 2,10.2,10.2,C10.2,15.2,Processing and preserving of fish and fish products,C,,,,
3daccbb1-c595-4979-8859-d5e9e57d3aee,Attribute,216cabc0-76eb-4be5-a94b-c59411f74401,"Processing and preserving of fish, crustaceans and molluscs",,,,,,,,4,,NACE Rev 2,10.20,10.2,C10.20,15.2,Processing and preserving of fish and fish products,C,,,,
6f68bb0c-f19d-4c0c-a838-c070fe129536,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,Processing and preserving of fruit and vegetables,,,,,,,,3,,NACE Rev 2,10.3,10.3,C10.3,N/A,N/A,C,,,,
