ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,NACE Code (EU Taxonomy Format),EU Taxonomy Activity Code,Description,Criteria,NACE Codes
11df8945-a7ac-471f-aa88-fc211180a752,Transition,,,c7717709-22c1-49a6-af49-d2a19f622e3b,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,,,,,
0a1c680d-ff43-46b9-8637-067e534bb5c8,Group,61e949c6-895e-4e32-9eda-a7408ac866de,C23.3 - Manufacture of clay building materials,,,,,,,,C23.3,,,,
0c83a396-449d-4978-a247-0f714480a85b,Attribute,0a1c680d-ff43-46b9-8637-067e534bb5c8,C23.3.1 - Manufacture of ceramic tiles and flags,,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,C23.31,,,,
06f4fc27-58fe-444b-859c-9c9e9f2a7843,Transition,,,0c83a396-449d-4978-a247-0f714480a85b,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,,,,,
786182d3-4ca0-46dd-a482-3ea734c26434,Attribute,0a1c680d-ff43-46b9-8637-067e534bb5c8,"C23.3.2 - Manufacture of bricks, tiles and construction products, in baked clay",,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,C23.32,,,,
624206b3-07f2-4061-8615-a081a480be1d,Transition,,,786182d3-4ca0-46dd-a482-3ea734c26434,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,,,,,
2e19828a-9f75-498f-bc4b-5e7e89e5d339,Group,61e949c6-895e-4e32-9eda-a7408ac866de,C23.4 - Manufacture of other porcelain and ceramic products,,,,,,,,C23.4,,,,
9281fc69-d692-4943-8f74-3da35a11d8c4,Attribute,2e19828a-9f75-498f-bc4b-5e7e89e5d339,C23.4.1 - Manufacture of ceramic household and ornamental articles,,,,,,,,C23.41,,,,
be98eab4-dd83-4419-b125-b16ef3b9a4ad,Attribute,2e19828a-9f75-498f-bc4b-5e7e89e5d339,C23.4.2 - Manufacture of ceramic sanitary fixtures,,,,,,,,C23.42,,,,
b37d3b68-edec-4b35-b892-9280c09b08e5,Attribute,2e19828a-9f75-498f-bc4b-5e7e89e5d339,C23.4.3 - Manufacture of ceramic insulators and insulating fittings,,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,C23.43,,,,
4cb70d65-14b9-4011-9248-f50ddd51a62c,Transition,,,b37d3b68-edec-4b35-b892-9280c09b08e5,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,,,,,
cd126a89-5174-416a-b848-c5ea207fea0a,Attribute,2e19828a-9f75-498f-bc4b-5e7e89e5d339,C23.4.4 - Manufacture of other technical ceramic products,,,,,,,,C23.44,,,,
f1fa9245-f59c-4baf-ae68-b890b111d8a3,Attribute,2e19828a-9f75-498f-bc4b-5e7e89e5d339,C23.4.9 - Manufacture of other ceramic products,,,,,,,,C23.49,,,,
fbd23cb9-830f-41c6-a071-783c440d396f,Group,61e949c6-895e-4e32-9eda-a7408ac866de,"C23.5 - Manufacture of cement, lime and plaster",,,,,,,,C23.5,,,,
30b2de92-5911-4b68-8cbb-b1c0e978b843,Attribute,fbd23cb9-830f-41c6-a071-783c440d396f,C23.5.1 - Manufacture of cement,,ec64bc14-408b-4904-b117-c4f1f9f3d047,,,,,,C23.51,,,,
b22de806-e51f-4da7-8023-103b3249454d,Transition,,,30b2de92-5911-4b68-8cbb-b1c0e978b843,ec64bc14-408b-4904-b117-c4f1f9f3d047,,,,,,,,,,
c454fc40-66be-46a0-b27d-6bbd297c96d0,Attribute,fbd23cb9-830f-41c6-a071-783c440d396f,C23.5.2 - Manufacture of lime and plaster,,,,,,,,C23.52,,,,
02694513-67fc-4c25-996c-59d305c6fb7e,Group,61e949c6-895e-4e32-9eda-a7408ac866de,"C23.6 - Manufacture of articles of concrete, cement and plaster",,,,,,,,C23.6,,,,
1af6d5a8-93de-4290-a1f6-6f7684ad9b9b,Attribute,02694513-67fc-4c25-996c-59d305c6fb7e,C23.6.1 - Manufacture of concrete products for construction purposes,,09aa5dbd-3777-4c06-b7b9-19326ddb819d,,,,,,C23.61,,,,
